0,1,2,3,4,5,6,7,#
6,1,4,7,2,1,5,3,1
3,1,5,4,2,1,2,4,1
3,6,2,3,5,6,1,4,1
1,2,2,2,1,2,1,3,1
5,1,4,5,2,1,3,6,1
5,4,2,1,6,4,5,3,1
4,7,1,6,3,7,2,5,1
