0,1,2,3,4,5,6,7,8,9,10,#
11,6,9,10,5,8,7,1,2,4,3,1
3,,,,5,,,1,2,,4,1
,3,6,4,5,,2,1,,,,1
6,7,9,8,10,4,11,1,2,3,5,1
5,7,9,10,8,3,6,1,2,11,4,1
4,7,11,10,6,3,8,1,9,2,5,1
,,,,,,,2,1,,,1
9,6,4,7,5,10,11,1,8,2,3,1
9,3,7,4,6,11,5,1,10,8,2,1
3,7,5,6,8,9,11,4,2,1,10,1
11,3,7,5,4,9,6,1,10,2,8,1
,,,,2,,,1,,,,1
,,,,,,,,1,2,,2
2,10,9,8,7,3,6,4,1,11,5,1
4,11,7,9,10,5,8,1,3,2,6,1
8,3,10,6,7,9,5,1,2,11,4,1
,,,,,3,,,1,2,,1
3,6,11,7,5,9,8,2,1,4,10,1
2,9,11,7,8,10,6,3,1,4,5,1
2,7,10,6,9,8,5,1,11,3,4,1
,,6,,,,3,1,4,2,5,1
2,3,11,10,9,6,5,1,8,7,4,1
2,2,2,2,2,2,1,2,2,2,2,1
5,4,7,9,8,11,3,1,2,6,10,1
2,8,3,5,9,11,4,1,6,10,7,1
5,10,11,9,2,6,8,1,7,3,4,1
6,2,8,10,9,11,3,4,5,7,1,1
,,,,,,,1,2,,,2
8,7,6,11,2,3,9,1,4,5,10,1
4,3,11,6,8,7,10,1,2,9,5,1
3,10,5,11,9,2,8,6,1,4,7,1
