0,1,2,3,4,5,6,#
1,3,7,6,4,5,2,1
2,1,6,3,5,7,4,1
5,7,3,6,1,2,4,1
1,,,,2,3,,1
2,3,1,3,2,1,2,1
1,,,,,,,1
