0,1,2,3,4,5,#
1,3,5,2,1,4,1
1,4,5,3,2,6,1
4,2,6,5,3,1,1
2,1,4,3,5,6,1
1,2,3,4,4,4,1
2,1,4,4,4,3,1
5,2,5,4,3,1,1
