0,1,2,3,4,5,6,#
2,6,4,3,7,5,1,1
1,7,6,3,4,2,5,1
5,6,4,2,1,3,7,1
5,1,4,2,6,7,3,1
4,5,6,2,7,3,1,1
7,1,6,4,5,3,2,1
5,6,7,1,3,4,2,1
