0,1,2,3,4,5,6,7,8,9,10,#
5,8,2,10,4,7,11,3,1,9,6,1
1,10,2,11,3,9,8,5,6,4,7,1
4,5,1,8,10,11,3,2,9,6,7,1
1,,5,,3,,,4,,,2,1
1,2,1,2,7,7,5,1,6,4,3,1
2,8,1,10,5,9,6,4,7,11,3,1
1,8,3,9,2,7,6,4,10,11,5,1
4,9,2,11,7,6,8,3,1,10,5,1
3,6,2,10,8,11,9,1,4,5,7,1
10,5,9,2,1,6,4,7,8,3,11,1
,,,,,,,,1,,,1
9,5,3,7,4,1,8,3,2,6,2,1
7,2,1,11,3,8,5,4,9,10,6,1
11,1,3,6,4,9,8,7,10,2,5,1
1,8,4,8,3,7,6,2,5,8,1,1
1,11,3,9,4,8,5,2,7,10,6,1
9,6,7,10,4,2,5,8,1,11,3,1
9,5,1,3,2,7,11,10,4,6,8,1
10,7,3,11,5,2,8,4,1,9,6,1
9,4,2,9,6,,8,3,1,7,5,1
5,8,1,7,4,2,11,10,3,9,6,1
