0,1,2,3,4,5,#
3,1,5,2,6,4,1
,,2,,1,,1
3,1,6,2,5,4,1
4,2,3,1,5,6,1
1,4,6,3,5,2,1
4,1,5,3,6,2,1
2,5,3,6,4,1,1
