0,1,2,3,4,5,6,#
3,3,1,3,1,3,2,1
7,5,4,3,6,2,1,1
4,3,5,1,6,7,2,1
4,6,7,3,2,5,1,1
3,5,4,6,2,7,1,1
4,2,3,7,6,5,1,1
7,4,2,5,3,6,1,1
7,3,5,1,4,6,2,1
