0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,#
13,1,18,20,22,1,6,10,12,4,9,11,15,19,25,8,3,23,24,7,5,16,21,2,14,17,1
,,,,,1,,,,,,,,,,,,,,,,,,,,,7
,,,,1,,,,,,,,,,,,,,2,,,,,,,,1
,,,1,,,,,,,,,,,,,,,,,1,,,,,,5
,,,,,,,1,,,,,,,,,,,,,,,,,,,1
,,,1,,,,,,,,,,,,,,,,,,,,,,,1
2,,,1,3,,2,,,,,,,,4,,,,1,,1,5,4,,5,3,1
15,20,5,1,7,8,19,18,12,9,4,11,7,13,14,10,6,2,3,3,1,17,9,2,11,16,1
,,,,,,,,,,1,,,,,,,,,,,,,,,,1
,2,,,,,,,,,1,,,,,,,,,,,,,,,,2
9,6,10,2,14,5,4,19,9,7,11,18,16,23,20,3,8,15,13,17,1,24,21,12,22,10,1
7,17,25,20,2,1,15,16,13,18,23,26,24,12,10,11,21,4,3,22,14,9,5,19,6,8,1
20,10,3,23,25,1,11,17,13,9,4,2,5,18,15,14,8,24,26,6,12,16,22,7,21,19,1
,4,,,,6,,1,2,,,,,,,,7,,,,3,,,5,,,1
,,,,,,,,1,,,,,,,,,,,,,,,,,,4
,12,4,1,,11,13,15,14,10,6,3,5,17,18,16,8,,,7,2,19,,9,,20,1
,,,,,,,,,1,,,,,,,,,,,,,,,,,15
,2,5,,15,10,11,,13,1,8,6,4,,,,9,16,14,3,12,,,7,,,1
,,4,,,,,,,1,3,6,,,,,2,,,5,,,,7,,,1
,,,4,2,,,,,1,,,,,,,,3,,,,,,,,,1
,,,,,,,,,1,2,,,,,,4,,,,,,,3,,,1
4,14,19,5,24,1,26,25,12,20,10,13,11,17,15,16,18,21,23,3,9,8,6,2,7,22,1
,7,18,,20,3,2,13,10,1,9,,6,12,15,11,14,,,5,8,16,17,4,19,,1
,,,,2,,,,,1,,,,,,5,,,,,,4,,,,3,1
10,5,1,13,4,7,20,16,15,8,5,2,3,14,9,17,1,6,13,4,19,12,18,6,8,11,1
,,,,,,,,,,,,,,,,1,,,,,,,,,,20
,,2,,,,,,,,,,,,,,1,,,,,,,,,,3
,,2,,,,,,,,,4,3,,,,1,,,,,,,,,,1
,,4,,,,,,,,5,,3,,,,1,,,2,,,,6,,,1
,,1,,,,,,,,,,,,,,1,,,,,,,,,,2
13,18,3,10,8,19,7,17,5,20,24,25,23,16,14,4,1,9,2,22,6,15,11,21,12,3,1
,,,,,,,,,,,,,,,,1,,,2,,,,,,,1
12,12,1,13,6,6,9,5,8,2,4,9,3,4,3,7,1,7,5,8,2,11,13,10,11,10,1
,,,,,,,,,,,,,1,,,,,,,,,,,,,1
8,12,,5,3,11,13,16,15,,,,,18,19,17,1,4,2,10,14,20,6,,7,9,1
6,16,23,3,24,17,15,12,13,18,21,25,22,10,9,11,1,2,26,20,14,8,4,19,5,7,1
,1,3,20,18,9,11,15,12,10,6,4,5,16,,14,2,19,17,7,13,,,8,,,1
21,18,4,24,25,6,13,15,16,8,5,12,3,10,11,20,1,23,26,2,9,17,22,7,19,14,1
,,,,,,6,,,1,5,,,,,7,4,,,3,,,,2,,,1
,,,,,,,,,,,,,,,,,,,,,,,1,,,2
,,2,,,,,,3,,,,,,,,1,,,,4,6,,,,5,1
,,,,,,,,,1,,2,,,,,,,,,,,,,,,1
6,15,13,3,1,5,16,,,7,11,14,12,,,,9,2,17,10,,20,4,8,18,19,1
,1,3,,,,,,,,4,,5,,,,2,,6,,,,,,,,1
8,15,2,5,4,3,17,16,20,19,24,22,23,11,12,10,1,6,7,25,14,18,9,21,26,13,1
19,10,17,3,22,11,9,4,7,12,16,23,2,6,18,13,14,24,21,15,5,8,25,26,20,1,1
,,,,,,,,,,,,,,,,,,,,,,1,,,,1
6,5,6,4,2,10,8,1,4,10,9,7,8,8,7,3,4,3,2,9,10,2,5,10,1,2,1
,,,,,,,,,,,,,,,,,,,,,,3,,1,2,1
4,,,,,,,6,7,,,,,,3,5,,,,,,2,,,,1,1
,,,,,,,,,,,,,,,,,,,,,,,,,1,1
,3,2,,,,,,,,,,,,,,1,,,,,,,,,,1
10,3,,12,,,,6,5,2,,,,,8,7,1,,,,4,,,,11,9,1
,,,,,,,,,,,,,,,,,,1,,,,,,,,1
