0,1,2,3,4,5,6,#
5,7,6,2,4,3,1,1
3,,,1,,2,,1
4,7,1,6,3,5,2,1
3,7,5,2,6,4,1,1
1,2,2,2,2,2,2,1
3,7,4,1,5,6,2,1
