0,1,2,3,4,5,#
3,4,5,6,1,2,1
5,3,2,1,6,4,1
5,6,3,4,1,2,1
2,1,4,6,5,3,1
6,4,5,1,2,3,1
3,3,2,3,1,3,1
3,3,5,2,1,4,1
