0,1,2,3,4,5,6,7,8,9,10,#
2,6,9,4,10,1,3,8,11,7,5,1
2,,,,,1,4,,3,,5,1
,3,6,,4,1,,,,2,5,1
2,7,9,3,8,1,5,4,6,11,10,1
2,7,9,11,10,1,4,3,5,6,8,1
9,7,11,2,10,1,5,3,4,8,6,1
1,,,,,2,,,,,,1
8,6,4,2,7,1,3,10,9,11,5,1
10,3,7,8,4,1,2,11,9,5,6,1
2,7,5,1,6,4,10,9,3,11,8,1
10,3,7,2,5,1,8,9,11,6,4,1
,,,,,1,,,,,2,1
1,,,2,,,,,,,,2
1,10,9,11,8,4,5,3,2,6,7,1
3,11,7,2,9,1,6,5,4,8,10,1
2,3,10,11,6,1,4,9,8,5,7,1
1,,,2,,,,3,,,,1
1,6,11,4,7,2,10,9,3,8,5,1
1,9,11,4,7,3,5,10,2,6,8,1
11,7,10,3,6,1,4,8,2,5,9,1
4,,6,2,,1,5,,,3,,1
8,3,11,7,10,1,4,6,2,5,9,1
2,2,2,2,2,2,2,2,2,1,2,1
2,4,7,6,9,1,10,11,5,3,8,1
6,8,3,10,5,1,7,11,2,4,9,1
7,10,11,3,9,1,4,6,5,8,2,1
5,2,8,7,10,4,1,11,6,3,9,1
2,,,,,1,,,,,,2
4,7,6,5,11,1,10,3,8,9,2,1
2,3,11,9,6,1,5,7,4,10,8,1
1,10,5,4,11,6,7,2,3,8,9,1
