0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,#
6,4,23,14,20,15,1,7,5,8,12,13,22,17,21,16,11,18,24,2,9,10,19,3,1
,,,,,,2,3,,1,,,,,,,4,,,,,,,,1
5,,10,2,8,,1,,,,,,9,,,6,,,11,3,,,7,4,1
1,3,,,,,,,2,,,,,,,,,,,,,,,,1
,,,,,,2,,1,5,,,,3,,,,,,,,4,,,1
,2,,3,,,,8,1,6,,,,,,,7,,,5,,,,4,1
,,,,,,1,5,,3,,,,,,,,,,,,4,,2,1
4,7,11,,,,,8,1,3,,,,,10,,5,,12,,6,2,,9,1
,3,,,,,1,,2,,,,,,,,,,,,5,4,,,1
,3,,,,,2,,5,,1,,,,,,,,,,,4,,,1
1,7,19,3,23,2,8,11,9,5,14,6,22,16,24,12,13,20,17,18,10,15,21,4,1
10,5,10,10,10,6,1,7,10,10,10,2,8,4,10,10,9,10,10,3,10,10,10,10,1
,1,,,,,,2,,3,,,,,,,,,,,5,,,4,1
,5,,1,,,,,,2,,,,,,,,,,,,3,,4,1
