0,1,2,3,4,5,6,#
,,,2,1,,,1
2,,2,1,1,,,1
,,,1,1,,,1
,,3,2,1,,,1
2,4,1,,,5,3,1
3,4,5,7,6,2,1,1
4,2,4,1,1,5,3,1
4,5,1,2,3,7,6,1
