0,1,2,3,4,5,#
5,4,1,2,3,6,1
5,2,1,6,3,4,1
4,4,1,2,4,3,1
4,5,1,3,2,6,1
3,5,1,2,4,6,1
6,5,2,1,4,3,1
5,3,,4,2,1,1
5,1,2,4,3,6,1
6,4,1,2,5,3,1
6,2,1,4,3,5,1
3,1,3,4,2,5,1
