0,1,2,3,4,5,6,#
2,5,6,3,4,1,7,1
1,6,3,2,5,7,4,1
1,7,6,4,5,3,2,1
4,2,3,5,7,1,6,1
1,3,2,6,5,4,7,1
5,4,7,1,3,2,6,1
4,2,7,3,5,6,1,1
2,6,3,4,1,7,5,1
5,3,4,2,7,1,6,1
5,4,3,2,1,7,6,1
6,5,1,2,3,4,7,1
7,3,6,2,4,5,1,1
