0,1,2,3,4,5,#
2,4,5,6,1,3,1
3,6,1,2,4,5,1
1,4,6,3,2,5,1
,,,,1,,2
2,,3,,1,,1
5,2,3,1,4,6,1
1,3,,2,,,1
