0,1,2,3,4,5,6,#
7,3,4,2,6,1,5,1
5,1,6,2,1,3,4,1
6,3,5,2,7,1,4,1
7,5,4,6,3,2,1,1
6,1,7,5,3,2,4,1
7,2,5,1,6,3,4,1
4,2,3,7,5,1,6,1
4,3,5,2,6,1,7,1
5,2,7,6,4,1,3,1
6,5,7,1,3,2,4,1
,1,,3,2,,,1
