0,1,2,3,4,5,6,#
2,6,5,3,1,7,4,1
2,6,5,1,3,7,4,1
2,6,4,5,1,7,3,1
5,7,2,3,1,6,4,1
6,4,1,5,2,7,3,1
5,7,3,6,2,4,1,1
